date,opponent,passes,success_passes
2024-08-19,Espanyol,444,349
2024-08-25,Real Madrid,397,321
2024-08-28,Leganés,549,463
2024-08-31,Barcelona,267,205
2024-09-15,Celta Vigo,446,368
2024-09-21,Real Sociedad,320,222
2024-09-24,Sevilla,354,263
2024-09-27,Mallorca,464,356
2024-10-05,Rayo Vallecano,348,270
2024-10-18,Alavés,281,182
2024-10-26,Villarreal,459,382
2024-11-02,Osasuna,408,300
2024-11-10,Athletic Club,317,220
2024-11-22,Getafe,302,177
2024-11-30,Atlético Madrid,521,437
2024-12-07,Las Palmas,397,301
2024-12-13,Valencia,309,222
2024-12-20,Girona,325,247
2025-01-11,Betis,380,302
2025-01-17,Espanyol,655,563
2025-01-25,Real Madrid,345,289
2025-02-01,Villarreal,459,377
2025-02-07,Rayo Vallecano,290,188
2025-02-16,Sevilla,584,498
2025-02-23,Athletic Club,353,272
2025-02-28,Las Palmas,608,493
2025-03-08,Valencia,348,263
2025-03-15,Celta Vigo,396,303
2025-03-29,Real Sociedad,417,320
2025-04-06,Getafe,474,384
2025-04-14,Atlético Madrid,536,467
2025-04-20,Osasuna,543,457
2025-04-24,Betis,309,225
2025-05-03,Barcelona,182,107
2025-05-10,Mallorca,325,249
2025-05-13,Girona,471,396
2025-05-18,Alavés,386,277
2025-05-24,Leganés,418,337
