date,opponent,venue,possession,score
2024-08-19,Espanyol,Away,54.0,
2024-08-25,Real Madrid,Home,63.0,
2024-08-28,Leganés,Away,42.0,
2024-08-31,Barcelona,Home,70.0,
2024-09-15,Celta Vigo,Home,54.0,
2024-09-21,Real Sociedad,Away,64.0,
2024-09-24,Sevilla,Home,54.0,
2024-09-27,Mallorca,Away,49.0,
2024-10-05,Rayo Vallecano,Away,60.0,
2024-10-18,Alavés,Home,62.0,
2024-10-26,Villarreal,Away,55.0,
2024-11-02,Osasuna,Home,49.0,
2024-11-10,Athletic Club,Away,66.0,
2024-11-22,Getafe,Home,57.0,
2024-11-30,Atlético Madrid,Away,55.0,
2024-12-07,Las Palmas,Home,58.0,
2024-12-13,Valencia,Away,67.0,
2024-12-20,Girona,Home,70.0,
2025-01-11,Betis,Away,58.0,
2025-01-17,Espanyol,Home,36.0,
2025-01-25,Real Madrid,Away,68.0,
2025-02-01,Villarreal,Home,53.0,
2025-02-07,Rayo Vallecano,Home,69.0,
2025-02-16,Sevilla,Away,48.0,
2025-02-23,Athletic Club,Home,57.0,
2025-02-28,Las Palmas,Away,36.0,
2025-03-08,Valencia,Home,62.0,
2025-03-15,Celta Vigo,Away,61.0,
2025-03-29,Real Sociedad,Home,55.0,
2025-04-06,Getafe,Away,49.0,
2025-04-14,Atlético Madrid,Home,54.0,
2025-04-20,Osasuna,Away,50.0,
2025-04-24,Betis,Home,69.0,
2025-05-03,Barcelona,Away,81.0,
2025-05-10,Mallorca,Home,61.0,
2025-05-13,Girona,Away,52.0,
2025-05-18,Alavés,Away,50.0,
2025-05-24,Leganés,Home,54.0,
