date,opponent,venue,possession,score
2024-08-19,Espanyol,Home,46.0,
2024-08-25,Real Madrid,Away,37.0,
2024-08-28,Leganés,Home,58.0,
2024-08-31,Barcelona,Away,30.0,
2024-09-15,Celta Vigo,Away,46.0,
2024-09-21,Real Sociedad,Home,36.0,
2024-09-24,Sevilla,Away,46.0,
2024-09-27,Mallorca,Home,51.0,
2024-10-05,Rayo Vallecano,Home,40.0,
2024-10-18,Alavés,Away,38.0,
2024-10-26,Villarreal,Home,45.0,
2024-11-02,Osasuna,Away,51.0,
2024-11-10,Athletic Club,Home,34.0,
2024-11-22,Getafe,Away,43.0,
2024-11-30,Atlético Madrid,Home,45.0,
2024-12-07,Las Palmas,Away,42.0,
2024-12-13,Valencia,Home,33.0,
2024-12-20,Girona,Away,30.0,
2025-01-11,Betis,Home,42.0,
2025-01-17,Espanyol,Away,64.0,
2025-01-25,Real Madrid,Home,32.0,
2025-02-01,Villarreal,Away,47.0,
2025-02-07,Rayo Vallecano,Away,31.0,
2025-02-16,Sevilla,Home,52.0,
2025-02-23,Athletic Club,Away,43.0,
2025-02-28,Las Palmas,Home,64.0,
2025-03-08,Valencia,Away,38.0,
2025-03-15,Celta Vigo,Home,39.0,
2025-03-29,Real Sociedad,Away,45.0,
2025-04-06,Getafe,Home,51.0,
2025-04-14,Atlético Madrid,Away,46.0,
2025-04-20,Osasuna,Home,50.0,
2025-04-24,Betis,Away,31.0,
2025-05-03,Barcelona,Home,19.0,
2025-05-10,Mallorca,Away,39.0,
2025-05-13,Girona,Home,48.0,
2025-05-18,Alavés,Home,50.0,
2025-05-24,Leganés,Away,46.0,
