date,home_team,hxg,axg,away_team
2024-08-23,Gladbach,1.6,2.7,Leverkusen
2024-08-24,Hoffenheim,3.5,1.7,Holstein Kiel
2024-08-24,Mainz 05,1.2,0.6,Union Berlin
2024-08-24,Augsburg,1.0,1.4,Werder Bremen
2024-08-24,Freiburg,2.1,0.4,Stuttgart
2024-08-24,RB Leipzig,1.3,1.0,Bochum
2024-08-24,Dortmund,1.7,1.4,Eint Frankfurt
2024-08-25,Wolfsburg,1.9,2.4,Bayern Munich
2024-08-25,St. Pauli,1.2,1.1,Heidenheim
,,,,
2024-08-30,Union Berlin,1.1,0.5,St. Pauli
2024-08-31,Werder Bremen,0.3,0.6,Dortmund
2024-08-31,Eint Frankfurt,2.4,1.0,Hoffenheim
2024-08-31,Bochum,0.7,2.9,Gladbach
2024-08-31,Holstein Kiel,1.1,1.3,Wolfsburg
2024-08-31,Stuttgart,3.8,2.3,Mainz 05
2024-08-31,Leverkusen,2.2,1.1,RB Leipzig
2024-09-01,Heidenheim,3.1,0.7,Augsburg
2024-09-01,Bayern Munich,1.5,1.0,Freiburg
,,,,
2024-09-13,Dortmund,2.6,1.8,Heidenheim
2024-09-14,RB Leipzig,1.3,0.6,Union Berlin
2024-09-14,Gladbach,1.6,2.2,Stuttgart
2024-09-14,Freiburg,3.7,0.9,Bochum
2024-09-14,Wolfsburg,1.5,2.5,Eint Frankfurt
2024-09-14,Hoffenheim,0.9,3.5,Leverkusen
2024-09-14,Holstein Kiel,0.3,3.2,Bayern Munich
2024-09-15,Augsburg,2.7,0.5,St. Pauli
2024-09-15,Mainz 05,1.1,1.6,Werder Bremen
,,,,
2024-09-20,Augsburg,2.4,1.0,Mainz 05
2024-09-21,Union Berlin,1.2,0.4,Hoffenheim
2024-09-21,Bochum,0.8,1.9,Holstein Kiel
2024-09-21,Heidenheim,0.7,1.4,Freiburg
2024-09-21,Werder Bremen,0.0,3.0,Bayern Munich
2024-09-21,Eint Frankfurt,2.7,1.7,Gladbach
2024-09-22,Leverkusen,1.9,0.7,Wolfsburg
2024-09-22,Stuttgart,3.4,0.7,Dortmund
2024-09-22,St. Pauli,1.4,0.7,RB Leipzig
,,,,
2024-09-27,Dortmund,3.2,1.3,Bochum
2024-09-28,Mainz 05,0.6,1.2,Heidenheim
2024-09-28,Freiburg,1.2,1.1,St. Pauli
2024-09-28,RB Leipzig,3.0,1.1,Augsburg
2024-09-28,Gladbach,0.9,0.7,Union Berlin
2024-09-28,Wolfsburg,1.1,1.8,Stuttgart
2024-09-28,Bayern Munich,1.4,0.1,Leverkusen
2024-09-29,Holstein Kiel,1.1,2.1,Eint Frankfurt
2024-09-29,Hoffenheim,1.2,2.9,Werder Bremen
,,,,
2024-10-04,Augsburg,1.3,0.5,Gladbach
2024-10-05,Bochum,1.7,2.4,Wolfsburg
2024-10-05,Union Berlin,1.5,0.7,Dortmund
2024-10-05,Werder Bremen,1.0,1.0,Freiburg
2024-10-05,Leverkusen,2.1,1.6,Holstein Kiel
2024-10-05,St. Pauli,1.0,1.1,Mainz 05
2024-10-06,Heidenheim,1.0,1.4,RB Leipzig
2024-10-06,Eint Frankfurt,1.2,2.2,Bayern Munich
2024-10-06,Stuttgart,1.9,0.9,Hoffenheim
,,,,
2024-10-18,Dortmund,2.6,0.6,St. Pauli
2024-10-19,Leverkusen,3.8,1.9,Eint Frankfurt
2024-10-19,Mainz 05,0.6,1.9,RB Leipzig
2024-10-19,Freiburg,0.8,0.6,Augsburg
2024-10-19,Hoffenheim,2.5,2.7,Bochum
2024-10-19,Gladbach,3.6,2.0,Heidenheim
2024-10-19,Bayern Munich,3.2,0.5,Stuttgart
2024-10-20,Holstein Kiel,1.3,1.1,Union Berlin
2024-10-20,Wolfsburg,1.8,2.0,Werder Bremen
,,,,
2024-10-25,Mainz 05,1.7,0.7,Gladbach
2024-10-26,St. Pauli,0.8,1.1,Wolfsburg
2024-10-26,Stuttgart,1.6,0.5,Holstein Kiel
2024-10-26,Augsburg,0.6,1.0,Dortmund
2024-10-26,RB Leipzig,1.8,1.7,Freiburg
2024-10-26,Werder Bremen,1.6,1.3,Leverkusen
2024-10-27,Bochum,0.6,2.2,Bayern Munich
2024-10-27,Union Berlin,1.4,1.5,Eint Frankfurt
2024-10-27,Heidenheim,1.5,0.7,Hoffenheim
,,,,
2024-11-01,Leverkusen,2.2,0.3,Stuttgart
2024-11-02,Wolfsburg,1.2,0.5,Augsburg
2024-11-02,Bayern Munich,2.5,0.5,Union Berlin
2024-11-02,Eint Frankfurt,3.5,1.8,Bochum
2024-11-02,Holstein Kiel,1.1,1.2,Heidenheim
2024-11-02,Hoffenheim,0.7,0.9,St. Pauli
2024-11-02,Dortmund,2.0,0.5,RB Leipzig
2024-11-03,Freiburg,0.8,0.5,Mainz 05
2024-11-03,Gladbach,2.5,1.4,Werder Bremen
,,,,
2024-11-08,Union Berlin,0.7,1.7,Freiburg
