date,opponent,passes,success_passes
2024-08-25,Wolfsburg,655,553
2024-09-01,Freiburg,745,657
2024-09-14,Holstein Kiel,836,757
2024-09-21,Werder Bremen,878,801
2024-09-28,Leverkusen,753,669
2024-10-06,Eint Frankfurt,908,800
2024-10-19,Stuttgart,733,648
2024-10-27,Bochum,779,691
2024-11-02,Union Berlin,902,816
2024-11-09,St. Pauli,869,769
2024-11-22,Augsburg,928,837
2024-11-30,Dortmund,667,572
2024-12-07,Heidenheim,1038,949
2024-12-14,Mainz 05,693,573
2024-12-20,RB Leipzig,745,666
2025-01-11,Gladbach,715,615
2025-01-15,Hoffenheim,793,699
2025-01-18,Wolfsburg,736,664
2025-01-25,Freiburg,674,596
2025-02-01,Holstein Kiel,784,713
2025-02-07,Werder Bremen,955,883
2025-02-15,Leverkusen,458,364
2025-02-23,Eint Frankfurt,807,715
2025-02-28,Stuttgart,458,386
2025-03-08,Bochum,779,696
2025-03-15,Union Berlin,802,685
2025-03-29,St. Pauli,734,650
2025-04-04,Augsburg,719,633
2025-04-12,Dortmund,686,594
2025-04-19,Heidenheim,802,730
2025-04-26,Mainz 05,607,539
2025-05-03,RB Leipzig,638,539
2025-05-10,Gladbach,713,636
2025-05-17,Hoffenheim,744,660
