date,opponent,passes,success_passes
2024-08-25,Wolfsburg,283,188
2024-09-01,Freiburg,381,278
2024-09-14,Holstein Kiel,355,268
2024-09-21,Werder Bremen,386,300
2024-09-28,Leverkusen,342,254
2024-10-06,Eint Frankfurt,320,246
2024-10-19,Stuttgart,396,307
2024-10-27,Bochum,304,203
2024-11-02,Union Berlin,277,192
2024-11-09,St. Pauli,295,211
2024-11-22,Augsburg,237,171
2024-11-30,Dortmund,329,241
2024-12-07,Heidenheim,233,155
2024-12-14,Mainz 05,329,226
2024-12-20,RB Leipzig,311,245
2025-01-11,Gladbach,352,267
2025-01-15,Hoffenheim,436,353
2025-01-18,Wolfsburg,298,221
2025-01-25,Freiburg,370,292
2025-02-01,Holstein Kiel,318,257
2025-02-07,Werder Bremen,325,262
2025-02-15,Leverkusen,597,479
2025-02-23,Eint Frankfurt,467,372
2025-02-28,Stuttgart,516,423
2025-03-08,Bochum,284,196
2025-03-15,Union Berlin,206,108
2025-03-29,St. Pauli,390,300
2025-04-04,Augsburg,321,238
2025-04-12,Dortmund,418,311
2025-04-19,Heidenheim,374,297
2025-04-26,Mainz 05,430,346
2025-05-03,RB Leipzig,396,295
2025-05-10,Gladbach,428,342
2025-05-17,Hoffenheim,379,296
