date,opponent,possession
2024-08-24,Union Berlin,47.0
2024-08-31,Stuttgart,63.0
2024-09-15,Werder Bremen,42.0
2024-09-20,Augsburg,73.0
2024-09-28,Heidenheim,50.0
2024-10-05,St. Pauli,56.0
2024-10-19,RB Leipzig,47.0
2024-10-25,Gladbach,48.0
2024-11-03,Freiburg,51.0
2024-11-09,Dortmund,47.0
2024-11-24,Holstein Kiel,38.0
2024-12-01,Hoffenheim,48.0
2024-12-08,Wolfsburg,44.0
2024-12-14,Bayern Munich,68.0
2024-12-21,Eint Frankfurt,70.0
2025-01-11,Bochum,42.0
2025-01-14,Leverkusen,66.0
2025-01-19,Union Berlin,34.0
2025-01-25,Stuttgart,56.0
2025-01-31,Werder Bremen,38.0
2025-02-08,Augsburg,34.0
2025-02-16,Heidenheim,56.0
2025-02-22,St. Pauli,47.0
2025-03-01,RB Leipzig,49.0
2025-03-07,Gladbach,57.0
2025-03-15,Freiburg,56.0
2025-03-30,Dortmund,44.0
2025-04-05,Holstein Kiel,42.0
2025-04-12,Hoffenheim,36.0
2025-04-19,Wolfsburg,48.0
2025-04-26,Bayern Munich,59.0
2025-05-04,Eint Frankfurt,36.0
2025-05-10,Bochum,44.0
2025-05-17,Leverkusen,52.0
