date,opponent,venue,possession,score
2024-08-17,Valencia,Away,63.0,
2024-08-24,Athletic Club,Home,64.0,
2024-08-27,Rayo Vallecano,Away,64.0,
2024-08-31,Valladolid,Home,70.0,
2024-09-15,Girona,Away,55.0,
2024-09-22,Villarreal,Away,63.0,
2024-09-25,Getafe,Home,76.0,
2024-09-28,Osasuna,Away,73.0,
2024-10-06,Alavés,Away,71.0,
2024-10-20,Sevilla,Home,67.0,
2024-10-26,Real Madrid,Away,57.0,
2024-11-03,Espanyol,Home,76.0,
2024-11-10,Real Sociedad,Away,69.0,
2024-11-23,Celta Vigo,Away,59.0,
2024-11-30,Las Palmas,Home,69.0,
2024-12-03,Mallorca,Away,59.0,
2024-12-07,Betis,Away,62.0,
2024-12-15,Leganés,Home,79.0,
2024-12-21,Atlético Madrid,Home,62.0,
2025-01-18,Getafe,Away,77.0,
2025-01-26,Valencia,Home,71.0,
2025-02-02,Alavés,Home,69.0,
2025-02-09,Sevilla,Away,60.0,
2025-02-17,Rayo Vallecano,Home,59.0,
2025-02-22,Las Palmas,Away,69.0,
2025-03-02,Real Sociedad,Home,76.0,
2025-03-16,Atlético Madrid,Away,65.0,
2025-03-27,Osasuna,Home,74.0,
2025-03-30,Girona,Home,69.0,
2025-04-05,Betis,Home,73.0,
2025-04-12,Leganés,Away,65.0,
2025-04-19,Celta Vigo,Home,71.0,
2025-04-22,Mallorca,Home,77.0,
2025-05-03,Valladolid,Away,81.0,
2025-05-11,Real Madrid,Home,62.0,
2025-05-15,Espanyol,Away,74.0,
2025-05-18,Villarreal,Home,69.0,
2025-05-25,Athletic Club,Away,75.0,
