date,opponent,venue,possession,score
2024-08-17,Barcelona,Home,37.0,
2024-08-23,Celta Vigo,Away,51.0,
2024-08-28,Athletic Club,Away,50.0,
2024-08-31,Villarreal,Home,58.0,
2024-09-15,Atlético Madrid,Away,47.0,
2024-09-21,Girona,Home,33.0,
2024-09-24,Osasuna,Home,52.0,
2024-09-28,Real Sociedad,Away,39.0,
2024-10-04,Leganés,Away,41.0,
2024-10-21,Las Palmas,Home,48.0,
2024-10-27,Getafe,Away,36.0,
2024-11-23,Betis,Home,48.0,
2024-11-29,Mallorca,Away,52.0,
2024-12-07,Rayo Vallecano,Home,60.0,
2024-12-13,Valladolid,Away,67.0,
2024-12-18,Espanyol,Away,54.0,
2024-12-22,Alavés,Home,62.0,
2025-01-03,Real Madrid,Home,38.0,
2025-01-11,Sevilla,Away,46.0,
2025-01-19,Real Sociedad,Home,36.0,
2025-01-26,Barcelona,Away,29.0,
2025-02-02,Celta Vigo,Home,46.0,
2025-02-09,Leganés,Home,44.0,
2025-02-15,Villarreal,Away,50.0,
2025-02-22,Atlético Madrid,Home,49.0,
2025-03-02,Osasuna,Away,49.0,
2025-03-08,Valladolid,Home,62.0,
2025-03-15,Girona,Away,43.0,
2025-03-30,Mallorca,Home,44.0,
2025-04-05,Real Madrid,Away,35.0,
2025-04-11,Sevilla,Home,51.0,
2025-04-19,Rayo Vallecano,Away,43.0,
2025-04-22,Espanyol,Home,67.0,
2025-05-03,Las Palmas,Away,47.0,
2025-05-10,Getafe,Home,58.0,
2025-05-14,Alavés,Away,58.0,
2025-05-18,Athletic Club,Home,55.0,
2025-05-23,Betis,Away,53.0,
