date,opponent,passes,success_passes
2024-08-19,Espanyol,520,417
2024-08-25,Real Madrid,689,617
2024-08-28,Leganés,390,311
2024-08-31,Barcelona,636,571
2024-09-15,Celta Vigo,532,455
2024-09-21,Real Sociedad,576,471
2024-09-24,Sevilla,420,331
2024-09-27,Mallorca,452,345
2024-10-05,Rayo Vallecano,517,422
2024-10-18,Alavés,458,348
2024-10-26,Villarreal,557,481
2024-11-02,Osasuna,396,287
2024-11-10,Athletic Club,606,509
2024-11-22,Getafe,394,281
2024-11-30,Atlético Madrid,644,551
2024-12-07,Las Palmas,545,451
2024-12-13,Valencia,624,502
2024-12-20,Girona,765,683
2025-01-11,Betis,528,433
2025-01-17,Espanyol,371,294
2025-01-25,Real Madrid,722,657
2025-02-01,Villarreal,514,436
2025-02-07,Rayo Vallecano,633,530
2025-02-16,Sevilla,543,457
2025-02-23,Athletic Club,464,397
2025-02-28,Las Palmas,339,241
2025-03-08,Valencia,557,471
2025-03-15,Celta Vigo,612,526
2025-03-29,Real Sociedad,514,435
2025-04-06,Getafe,456,370
2025-04-14,Atlético Madrid,642,570
2025-04-20,Osasuna,539,457
2025-04-24,Betis,679,588
2025-05-03,Barcelona,761,667
2025-05-10,Mallorca,501,412
2025-05-13,Girona,515,445
2025-05-18,Alavés,390,269
2025-05-24,Leganés,500,429
