date,opponent,possession
2024-08-25,Wolfsburg,30.0
2024-09-01,Freiburg,34.0
2024-09-14,Holstein Kiel,30.0
2024-09-21,Werder Bremen,31.0
2024-09-28,Leverkusen,31.0
2024-10-06,Eint Frankfurt,26.0
2024-10-19,Stuttgart,35.0
2024-10-27,Bochum,28.0
2024-11-02,Union Berlin,23.0
2024-11-09,St. Pauli,25.0
2024-11-22,Augsburg,20.0
2024-11-30,Dortmund,33.0
2024-12-07,Heidenheim,18.0
2024-12-14,Mainz 05,32.0
2024-12-20,RB Leipzig,29.0
2025-01-11,Gladbach,33.0
2025-01-15,Hoffenheim,35.0
2025-01-18,Wolfsburg,29.0
2025-01-25,Freiburg,35.0
2025-02-01,Holstein Kiel,29.0
2025-02-07,Werder Bremen,25.0
2025-02-15,Leverkusen,57.0
2025-02-23,Eint Frankfurt,37.0
2025-02-28,Stuttgart,53.0
2025-03-08,Bochum,27.0
2025-03-15,Union Berlin,20.0
2025-03-29,St. Pauli,35.0
2025-04-04,Augsburg,31.0
2025-04-12,Dortmund,38.0
2025-04-19,Heidenheim,32.0
2025-04-26,Mainz 05,41.0
2025-05-03,RB Leipzig,38.0
2025-05-10,Gladbach,38.0
2025-05-17,Hoffenheim,34.0
