date,opponent,passes,success_passes
2024-08-17,Liverpool,620,520
2024-08-24,Manchester City,796,726
2024-08-31,Fulham,469,383
2024-09-14,Brighton,617,512
2024-09-21,Southampton,517,439
2024-09-29,Aston Villa,561,493
2024-10-05,West Ham,528,452
2024-10-19,Everton,435,336
2024-10-26,Brentford,612,499
2024-11-02,Leicester City,475,372
2024-11-10,Tottenham,609,494
2024-11-24,Manchester Utd,682,592
2024-11-30,Nott'ham Forest,354,258
2024-12-03,Crystal Palace,474,371
2024-12-08,Bournemouth,488,379
2024-12-14,Wolves,549,443
2024-12-21,Newcastle Utd,649,564
2024-12-27,Arsenal,707,624
2024-12-30,Chelsea,774,679
2025-01-05,Fulham,745,633
2025-01-16,Brighton,502,413
2025-01-19,Manchester City,773,700
2025-01-25,Liverpool,790,696
2025-02-01,Southampton,430,327
2025-02-15,Aston Villa,715,622
2025-02-22,Tottenham,549,473
2025-02-26,Manchester Utd,397,313
2025-03-08,Crystal Palace,459,336
2025-03-15,Nott'ham Forest,392,298
2025-04-02,Bournemouth,581,453
2025-04-05,Wolves,455,368
2025-04-13,Chelsea,656,550
2025-04-20,Arsenal,790,707
2025-04-26,Newcastle Utd,698,609
2025-05-03,Everton,536,448
2025-05-10,Brentford,416,331
2025-05-18,Leicester City,486,403
2025-05-25,West Ham,654,564
