date,opponent,possession
2024-08-19,Tottenham,70.0
2024-08-24,Fulham,54.0
2024-08-31,Aston Villa,43.0
2024-09-14,Crystal Palace,66.0
2024-09-21,Everton,42.0
2024-09-28,Arsenal,74.0
2024-10-05,Bournemouth,55.0
2024-10-19,Southampton,42.0
2024-10-25,Nott'ham Forest,35.0
2024-11-02,Ipswich Town,43.0
2024-11-10,Manchester Utd,51.0
2024-11-23,Chelsea,63.0
2024-11-30,Brentford,60.0
2024-12-03,West Ham,61.0
2024-12-08,Brighton,44.0
2024-12-14,Newcastle Utd,59.0
2024-12-22,Wolves,46.0
2024-12-26,Liverpool,68.0
2024-12-29,Manchester City,47.0
2025-01-04,Aston Villa,60.0
2025-01-15,Crystal Palace,43.0
2025-01-18,Fulham,60.0
2025-01-26,Tottenham,61.0
2025-02-01,Everton,48.0
2025-02-15,Arsenal,60.0
2025-02-21,Brentford,52.0
2025-02-27,West Ham,58.0
2025-03-09,Chelsea,56.0
2025-03-16,Manchester Utd,47.0
2025-04-02,Manchester City,72.0
2025-04-07,Newcastle Utd,42.0
2025-04-12,Brighton,59.0
2025-04-20,Liverpool,58.0
2025-04-26,Wolves,56.0
2025-05-03,Southampton,51.0
2025-05-11,Nott'ham Forest,55.0
2025-05-18,Ipswich Town,50.0
2025-05-25,Bournemouth,63.0
