date,opponent,possession
2024-08-19,Tottenham,30.0
2024-08-24,Fulham,46.0
2024-08-31,Aston Villa,57.0
2024-09-14,Crystal Palace,34.0
2024-09-21,Everton,58.0
2024-09-28,Arsenal,26.0
2024-10-05,Bournemouth,45.0
2024-10-19,Southampton,58.0
2024-10-25,Nott'ham Forest,65.0
2024-11-02,Ipswich Town,57.0
2024-11-10,Manchester Utd,49.0
2024-11-23,Chelsea,37.0
2024-11-30,Brentford,40.0
2024-12-03,West Ham,39.0
2024-12-08,Brighton,56.0
2024-12-14,Newcastle Utd,41.0
2024-12-22,Wolves,54.0
2024-12-26,Liverpool,32.0
2024-12-29,Manchester City,53.0
2025-01-04,Aston Villa,40.0
2025-01-15,Crystal Palace,57.0
2025-01-18,Fulham,40.0
2025-01-26,Tottenham,39.0
2025-02-01,Everton,52.0
2025-02-15,Arsenal,40.0
2025-02-21,Brentford,48.0
2025-02-27,West Ham,42.0
2025-03-09,Chelsea,44.0
2025-03-16,Manchester Utd,53.0
2025-04-02,Manchester City,28.0
2025-04-07,Newcastle Utd,58.0
2025-04-12,Brighton,41.0
2025-04-20,Liverpool,42.0
2025-04-26,Wolves,44.0
2025-05-03,Southampton,49.0
2025-05-11,Nott'ham Forest,45.0
2025-05-18,Ipswich Town,50.0
2025-05-25,Bournemouth,37.0
